accession	description	tax_id	first_public	scientific_name	base_count
AF045114	Drosophila sturtevanti strain 14043-0871.0 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.	30047	1998-06-02	Drosophila sturtevanti	405
AF045118	Drosophila prosaltans strain 14045-0901.4 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.	30042	1998-06-02	Drosophila prosaltans	405
AY154833	Drosophila mojavensis strain MJBC 95.1 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230	2003-03-03	Drosophila mojavensis	880
AY154871	Drosophila mojavensis strain MJBC 103.3 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230	2003-03-03	Drosophila mojavensis	880
AY154873	Drosophila mojavensis strain MJBC 115.4 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230	2003-03-03	Drosophila mojavensis	880
AY165542	Drosophila novamexicana alcohol dehydrogenase (Adh) gene, exons 1, 2, and 3 and partial cds.	47314	2003-05-01	Drosophila novamexicana	743
AF045120	Drosophila neocordata strain 14041-0831.0 alcohol dehydrogenase (Adh) gene, exon2 and partial cds.	30039	1998-06-02	Drosophila neocordata	405
AY154831	Drosophila mojavensis strain MJBC 47.3 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.	7230	2003-03-03	Drosophila mojavensis	880
AY154875	Drosophila mojavensis strain MJBC 202.2 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.	7230	2003-03-03	Drosophila mojavensis	878
AB194424	Drosophila pseudoananassae nigrens Adh, Adhr genes for alcohol dehydrogenase, hypothetical protein, complete and partial cds.	296643	2005-05-07	Drosophila pseudoananassae nigrens	1779
AF348878	Drosophila auraria strain WK alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.	47315	2001-04-16	Drosophila auraria	667
AF348885	Drosophila subauraria strain SP alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.	137068	2001-04-16	Drosophila subauraria	667
CK131258	GH27610.3prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH27610 3 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 08/14/2002, mRNA sequence.	7227	2003-12-03	Drosophila melanogaster	607
CV790484	zaa36c05.x1 D yakuba testes cDNA Drosophila yakuba cDNA 3' similar to SW:ADH_DROME P00334 ALCOHOL DEHYDROGENASE , mRNA sequence.	7245	2004-11-12	Drosophila yakuba	726
CV785893	zaa02h11.y1 D yakuba testes cDNA Drosophila yakuba cDNA 5' similar to SW:ADH_DROTE P28484 ALCOHOL DEHYDROGENASE , mRNA sequence.	7245	2004-11-12	Drosophila yakuba	467
BI628420	RH56810.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH56810 5 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 08/22/2001, mRNA sequence.	7227	2001-09-11	Drosophila melanogaster	590
BI571028	RH05837.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH05837 5 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 07/26/2001, mRNA sequence.	7227	2001-09-07	Drosophila melanogaster	676
BI571793	RH07086.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH07086 5 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 07/26/2001, mRNA sequence.	7227	2001-09-07	Drosophila melanogaster	530
BI571034	RH05843.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH05843 5 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 07/26/2001, mRNA sequence.	7227	2001-09-07	Drosophila melanogaster	547
CV042948	dba16c04.x1 Drosophila simulans testis pSport1 library Drosophila simulans cDNA 3' similar to SW:ADH_DROME P00334 ALCOHOL DEHYDROGENASE , mRNA sequence.	7240	2004-08-24	Drosophila simulans	535
AY695387	Drosophila caribiana alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.	133974	2006-08-01	Drosophila caribiana	1141
AA567713	HL01670.5prime HL Drosophila melanogaster head BlueScript Drosophila melanogaster cDNA clone HL01670 5prime similar to M22210: D.melanogaster thermostable FAST alcohol dehydrogenase allele gene, complete cds. DATE:12/18/97, mRNA sequence.	7227	1997-09-11	Drosophila melanogaster	281
BF501656	AT17045.5prime AT Drosophila melanogaster adult testes pOTB7 Drosophila melanogaster cDNA clone AT17045 5 similar to CG5590: FBan0005590 'alcohol dehydrogenase, iron-dependent' located on: 3R 98A6-98A6 : 04/09/2001, mRNA sequence.	7227	2000-12-07	Drosophila melanogaster	371
AA820792	LD24679.5prime LD Drosophila melanogaster embryo pOT2 Drosophila melanogaster cDNA clone LD24679 5 similar to CG2767: FBan0002767 GO:[alcohol dehydrogenase (NADP+) (GO:0008106)] located on: 3R 84E5-84E5 : 08/13/2002, mRNA sequence.	7227	1998-02-18	Drosophila melanogaster	587
AF006565	Drosophila persimilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.	7234	1997-09-11	Drosophila persimilis	3462
KX384731	Drosophila takahashii strain IND_DT_U7 alcohol dehydrogenase (Adh) and alcohol dehydrogenase-related protein (Adhr) genes, partial cds.	29030	2017-01-03	Drosophila takahashii	2658
X13812	D.affinidisjuncta Adh gene for alcohol dehydrogenase	7262	1992-04-21	Drosophila affinidisjuncta	3886
X62223	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3477
X62229	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3494
X62217	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3468
X62218	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3486
AY331979	Drosophila lini alcohol dehydrogenase gene, partial cds.	74550	2003-07-26	Drosophila lini	785
X62190	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3485
X62210	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3454
X62224	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3474
X62235	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3479
X64468	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3476
X64487	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3474
X62221	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3483
X62232	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3499
X62183	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3499
X64470	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3498
X64476	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3457
X62196	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3479
X62211	D.pseudoobscura Adh gene for alcohol dehydrogenase	7237	1992-10-16	Drosophila pseudoobscura	3475
AY006415	Drosophila heteroneura alcohol dehydrogenase (Adh) gene, partial cds.	32382	2001-09-04	Drosophila heteroneura	510
AY750145	Drosophila bai alcohol dehydrogenase (Adh) gene, partial cds.	311478	2005-12-31	Drosophila bai	911
DQ471660	Drosophila hydei alcohol dehydrogenase (Adh) gene, partial cds.	7224	2006-07-20	Drosophila hydei	711
AB026535	Drosophila sturtevanti gene for alcohol dehydrogenase, partial cds.	30047	1999-10-29	Drosophila sturtevanti	849
AY750119	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.	65966	2005-12-31	Drosophila tsigana	911
AY750131	Drosophila yunnanensis alcohol dehydrogenase (Adh) gene, partial cds.	311475	2005-12-31	Drosophila yunnanensis	911
DQ471631	Drosophila beppui alcohol dehydrogenase (Adh) gene, partial cds.	381453	2006-07-20	Drosophila beppui	711
HQ631475	Drosophila jambulina alcohol dehydrogenase (adh) gene, partial cds.	111875	2011-08-30	Drosophila jambulina	290
HQ631480	Drosophila ohnishii alcohol dehydrogenase (adh) gene, partial cds.	307242	2011-08-30	Drosophila ohnishii	290
U63563	Drosophila affinidisjuncta alcohol dehydrogenase (Adh) mRNA, complete cds.	7262	1996-09-13	Drosophila affinidisjuncta	898
AF059888	Drosophila funebris alcohol dehydrogenase (Adh) gene, partial cds.	7221	1998-04-28	Drosophila funebris	290
AF081357	Drosophila tolteca alcohol dehydrogenase (Adh) gene, partial cds.	7259	1999-01-18	Drosophila tolteca	425
AY006418	Drosophila cyrtoloma alcohol dehydrogenase (Adh) gene, partial cds.	46895	2001-09-04	Drosophila cyrtoloma	510
AY750137	Drosophila pseudosordidula alcohol dehydrogenase (Adh) gene, partial cds.	311482	2005-12-31	Drosophila pseudosordidula	911
HQ631478	Drosophila madikerii alcohol dehydrogenase (adh) gene, partial cds.	233251	2011-08-30	Drosophila madikerii	290
M36580	D.melanogaster alcohol dehydrogenase (Adh) gene, complete cds.	7227	1990-08-30	Drosophila melanogaster	2686
M60998	Drosophila miranda alcohol dehydrogenase (adh) gene, complete cds.	7229	1992-04-30	Drosophila miranda	3461
X68164	D.pseudoobscura Adh gene for alcohol dehydrogenase (PS309)	7237	1992-10-08	Drosophila pseudoobscura	3443
AY750120	Drosophila tsigana alcohol dehydrogenase (Adh) gene, partial cds.	65966	2005-12-31	Drosophila tsigana	911
AY750126	Drosophila polychaeta alcohol dehydrogenase (Adh) gene, partial cds.	30041	2005-12-31	Drosophila polychaeta	911
AY750141	Drosophila bai alcohol dehydrogenase (Adh) gene, partial cds.	311478	2005-12-31	Drosophila bai	911
DQ471635	Drosophila quadrisetata alcohol dehydrogenase (Adh) gene, partial cds.	381471	2006-07-20	Drosophila quadrisetata	711
DQ471637	Drosophila velox alcohol dehydrogenase (Adh) gene, partial cds.	381475	2006-07-20	Drosophila velox	711
DQ471663	Drosophila lummei alcohol dehydrogenase (Adh) gene, partial cds.	40371	2006-07-20	Drosophila lummei	711
U26844	Drosophila texana alcohol dehydrogenase (Adh) gene, complete cds.	40372	1995-07-05	Drosophila americana texana	950
U26841	Drosophila lacicola alcohol dehydrogenase (Adh) gene, complete cds.	40369	1995-06-30	Drosophila lacicola	957
GQ376033	Drosophila bunnanda alcohol dehydrogenase (ADH) gene, partial cds.	244254	2009-08-02	Drosophila bunnanda	410
AB261139	Drosophila guttifera Adh gene for alcohol dehydrogenase, partial cds.	66368	2007-11-03	Drosophila guttifera	845
AB932657	Drosophila ornatifrons Adh gene for alcohol dehydrogenase, partial cds.	30031	2014-10-26	Drosophila ornatifrons	824
AB932665	Drosophila orientacea Adh gene for alcohol dehydrogenase, partial cds.	119223	2015-01-14	Drosophila orientacea	857
AB932675	Drosophila subpalustris Adh gene for alcohol dehydrogenase, partial cds.	95625	2014-10-26	Drosophila subpalustris	849
M37262	D.affinidisjuncta alcohol dehydrogenase (adh) gene, exons 1-4.	7262	1990-09-07	Drosophila affinidisjuncta	3886
U95253	Drosophila willistoni W3L alcohol dehydrogenase (Adh) gene, complete cds.	7260	1999-01-06	Drosophila willistoni	1172
X57375	Drosophila yakuba (individual k) Adh gene for alcohol dehydrogenase	7245	1991-07-17	Drosophila yakuba	975
AB033643	Drosophila funebris Adh mRNA for alcohol dehydrogenase, partial cds.	7221	1999-11-16	Drosophila funebris	711
AB932649	Drosophila brachynephros Adh gene for alcohol dehydrogenase, partial cds.	106246	2015-01-14	Drosophila brachynephros	1100
U26846	Drosophila virilis alcohol dehydrogenase (Adh-1) gene, complete cds.	7244	1995-06-22	Drosophila virilis	13087
U76468	Drosophila eohydei alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	54075	1996-11-19	Drosophila eohydei	899
X57369	Drosophila yakuba (individual e) Adh gene for alcohol dehydrogenase	7245	1991-07-17	Drosophila yakuba	975
AB033641	Drosophila polychaeta Adh mRNA for alcohol dehydrogenase, partial cds.	30041	1999-11-16	Drosophila polychaeta	711
AB932656	Drosophila funebris Adh gene for alcohol dehydrogenase, partial cds.	7221	2014-10-26	Drosophila funebris	845
AB932658	Drosophila guttifera Adh gene for alcohol dehydrogenase, partial cds.	66368	2014-10-26	Drosophila guttifera	845
AB932667	Drosophila phalerata Adh gene for alcohol dehydrogenase, partial cds.	7283	2014-10-26	Drosophila phalerata	822
AF260697	Drosophila mulleri alcohol dehydrogenase-related protein gene, partial cds.	7231	2000-09-20	Drosophila mulleri	463
EU532131	Drosophila tropicalis tropicalis alcohol dehydrogenase (Adh) gene, partial cds.	529088	2010-01-21	Drosophila tropicalis tropicalis	560
KM016466	Drosophila simulans isolate KY03 alcohol dehydrogenase-related gene, intron.	7240	2014-09-24	Drosophila simulans	476
LC578831	Drosophila palustris Adh gene for alcohol dehydrogenase, partial cds.	95623	2022-04-03	Drosophila palustris	706
EU532132	Drosophila tropicalis cubana alcohol dehydrogenase (Adh) gene, partial cds.	529087	2010-01-21	Drosophila tropicalis cubana	590
U95255	Drosophila willistoni Atlixco alcohol dehydrogenase (Adh) gene, complete cds.	7260	1999-01-06	Drosophila willistoni	1174
U26840	Drosophila lacicola alcohol dehydrogenase (Adh-2) gene, complete cds.	40369	1995-06-30	Drosophila lacicola	957
X57373	Drosophila yakuba (individual i) Adh gene for alcohol dehydrogenase	7245	1991-07-17	Drosophila yakuba	975
AB154542	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh01.	30033	2004-04-01	Drosophila kikkawai	683
AB154550	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh09.	30033	2004-04-01	Drosophila kikkawai	686
AB154556	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh15.	30033	2004-04-01	Drosophila kikkawai	686
AY095949	Drosophila phalerata isolate pha3 alcohol dehydrogenase (Adh) gene, partial cds.	7283	2003-05-01	Drosophila phalerata	430
AY335197	Drosophila sucinea clone Dsuc3 alcohol dehydrogenase (Adh) gene, partial cds.	46791	2003-12-31	Drosophila sucinea	781
DQ471615	Drosophila angor strain E132 alcohol dehydrogenase (Adh) gene, partial cds.	381448	2006-07-20	Drosophila angor	711
EU532127	Drosophila paulistorum from Guyana alcohol dehydrogenase (Adh) gene, partial cds.	46793	2010-01-21	Drosophila paulistorum	587
JX455218	Drosophila simulans isolate HW49 alcohol dehydrogenase (Adhr) gene, intron 1.	7240	2012-09-03	Drosophila simulans	480
KX976502	Drosophila yakuba isolate Yakuba_Anton_2_Principe alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	2016-11-12	Drosophila yakuba	771
U95261	Drosophila willistoni Manaus I alcohol dehydrogenase (Adh) gene, complete cds.	7260	1999-01-06	Drosophila willistoni	1172
AF201430	Drosophila simulans isolate HW00 alcohol dehydrogenase (Adhr) gene, intron 1.	7240	2000-07-03	Drosophila simulans	480
AF284475	Drosophila mauritiana strain 152 alcohol dehydrogenase (Adh) gene, partial cds.	7226	2000-11-02	Drosophila mauritiana	701
AF284479	Drosophila mauritiana strain Lig74 alcohol dehydrogenase (Adh) gene, partial cds.	7226	2000-11-02	Drosophila mauritiana	703
DQ471650	Drosophila yunnanensis strain 244 alcohol dehydrogenase (Adh) gene, partial cds.	311475	2006-07-20	Drosophila yunnanensis	711
HQ110510	Drosophila nebulosa isolate D_nebu_c2 alcohol dehydrogenase (Adh) gene, partial cds.	7271	2011-05-06	Drosophila nebulosa	794
X78917	D.melanogaster Adh gene (fn46 mutant) for alcohol dehydrogenase (partial)	7227	1994-05-03	Drosophila melanogaster	96
AB154560	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh19.	30033	2004-04-01	Drosophila kikkawai	683
AY095944	Drosophila curvispina isolate cur4 alcohol dehydrogenase (Adh) gene, partial cds.	126591	2003-05-01	Drosophila curvispina	443
DQ471651	Drosophila lacertosa strain 239 alcohol dehydrogenase (Adh) gene, partial cds.	119604	2006-07-20	Drosophila lacertosa	711
EU532130	Drosophila paulistorum from Colombia alcohol dehydrogenase (Adh) gene, partial cds.	46793	2010-01-21	Drosophila paulistorum	588
HQ110509	Drosophila nebulosa isolate D_nebu_c1 alcohol dehydrogenase (Adh) gene, partial cds.	7271	2011-05-06	Drosophila nebulosa	794
JX455217	Drosophila simulans isolate HW48 alcohol dehydrogenase (Adhr) gene, intron 1.	7240	2012-09-03	Drosophila simulans	480
KX375415	Drosophila biarmipes strain IND_DBR_U4 alcohol dehydrogenase (Adh) gene, complete cds.	125945	2017-01-03	Drosophila biarmipes	1022
KX976498	Drosophila yakuba isolate Yakuba_SanTome_city alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	2016-11-12	Drosophila yakuba	771
KX976517	Drosophila yakuba isolate Yakuba_3_2 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	2016-11-12	Drosophila yakuba	771
M22210	D.melanogaster thermostable FAST alcohol dehydrogenase allele gene, complete cds.	7227	1991-07-01	Drosophila melanogaster	2075
M60979	Drosophila pseudoobscura (strain AH43) alcohol dehydrogenase (adh) gene, complete cds.	7237	1992-04-30	Drosophila pseudoobscura	3481
M62851	D.wheeleri alcohol dehydrogenase-2 (ADH-2) gene, complete cds.	7277	1991-04-10	Drosophila wheeleri	924
X60112	D.madeirensis Adh and Adh-dup genes for alcohol dehydrogenase	30013	1993-08-25	Drosophila madeirensis	3881
M62741	D.arizonae alcohol dehydrogenase-2 (ADH-2) gene, complete cds.	7263	1991-07-11	Drosophila arizonae	909
DQ471626	Drosophila polychaeta strain X115 alcohol dehydrogenase (Adh) gene, partial cds.	30041	2006-07-20	Drosophila polychaeta	711
JX455214	Drosophila simulans isolate HW05 alcohol dehydrogenase (Adhr) gene, intron 1.	7240	2012-09-03	Drosophila simulans	480
KX976487	Drosophila yakuba isolate Yakuba_SJ_1 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	2016-11-12	Drosophila yakuba	771
KX976488	Drosophila yakuba isolate Yakuba_SJ4 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	2016-11-12	Drosophila yakuba	771
KX976516	Drosophila yakuba isolate Yakuba_1_6 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	2016-11-12	Drosophila yakuba	771
KX976507	Drosophila yakuba isolate Yakuba_BAR_1000_2 alcohol dehydrogenase (Adh) mRNA, complete cds.	7245	2016-11-12	Drosophila yakuba	771
U95262	Drosophila willistoni Manaus II alcohol dehydrogenase (Adh) gene, complete cds.	7260	1999-01-06	Drosophila willistoni	1172
U95264	Drosophila willistoni Manaus IV alcohol dehydrogenase (Adh) gene, complete cds.	7260	1999-01-06	Drosophila willistoni	1172
X60113	D.guanche Adh and Adh-dup genes for alcohol dehydrogenase	7266	1993-08-25	Drosophila guanche	4433
AB669832	Drosophila neoasahinai Adh gene for alcohol dehydrogenase, partial cds, strain: OKNH2K.	1084812	2014-01-02	Drosophila neoasahinai	837
AB669866	Drosophila leontia Adh gene for alcohol dehydrogenase, partial cds, strain: SWB196.	109356	2014-01-02	Drosophila leontia	832
AF136657	Drosophila americana americana G96.36X alcohol dehydrogenase (Adh) gene, partial cds.	95109	1999-06-03	Drosophila americana americana	884
AF175219	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-k37 allele, complete cds.	7227	1999-10-06	Drosophila melanogaster	951
AF459757	Drosophila greeni alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	114631	2002-05-16	Drosophila greeni	290
KJ767238	Drosophila melanogaster strain Canton S alcohol dehydrogenase (Adh) gene, partial cds.	7227	2014-09-04	Drosophila melanogaster	872
L78920	Drosophila mimica (strain 15292-2561.0) alcohol dehydrogenase gene, partial cds.	7270	1996-06-25	Drosophila mimica	822
M97638	Drosophila immigrans alcohol dehydrogenase (Adh and Adh-dup) genes, complete cds.	7250	1993-06-05	Drosophila immigrans	3142
AB669851	Drosophila jambulina Adh gene for alcohol dehydrogenase, partial cds, strain: F76.	111875	2014-01-02	Drosophila jambulina	831
AF459776	Drosophila tsacasi alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	34677	2002-05-16	Drosophila tsacasi	290
AF459777	Drosophila baimaii alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	137353	2002-05-16	Drosophila baimaii	290
EF216311	Drosophila microlabis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	7281	2007-06-10	Drosophila microlabis	370
L78925	Drosophila mimica (strain 15292-2561.5) alcohol dehydrogenase gene, partial cds.	7270	1996-06-25	Drosophila mimica	822
U64530	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS254 allele, complete cds.	7237	1996-08-16	Drosophila pseudoobscura	3456
AB669826	Drosophila auraria Adh gene for alcohol dehydrogenase, partial cds, strain: A662.	47315	2014-01-02	Drosophila auraria	843
AB669831	Drosophila neoasahinai Adh gene for alcohol dehydrogenase, partial cds, strain: KMJM37.	1084812	2014-01-02	Drosophila neoasahinai	838
AB669836	Drosophila subauraria Adh gene for alcohol dehydrogenase, partial cds, strain: KT4.	137068	2014-01-02	Drosophila subauraria	842
AB669837	Drosophila subauraria Adh gene for alcohol dehydrogenase, partial cds, strain: ONM29.	137068	2014-01-02	Drosophila subauraria	842
AB669856	Drosophila watanabei Adh gene for alcohol dehydrogenase, partial cds, strain: SWB248.	94109	2014-01-02	Drosophila watanabei	826
AB669869	Drosophila ogumai Adh gene for alcohol dehydrogenase, partial cds, strain: RGN3.	307244	2014-01-02	Drosophila ogumai	837
AB669871	Drosophila ohnishii Adh gene for alcohol dehydrogenase, partial cds, strain: MMY309.	307242	2014-01-02	Drosophila ohnishii	844
AB669879	Drosophila serrata Adh gene for alcohol dehydrogenase, partial cds, strain: Q122.	7274	2014-01-02	Drosophila serrata	839
AF136662	Drosophila americana americana G96.46X alcohol dehydrogenase (Adh) gene, partial cds.	95109	1999-06-03	Drosophila americana americana	884
AF136680	Drosophila americana americana G96.21Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	1999-06-03	Drosophila americana americana	884
AF136690	Drosophila americana americana G96.48Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	1999-06-03	Drosophila americana americana	884
AF136707	Drosophila americana texana LP97.07 alcohol dehydrogenase (Adh) gene, partial cds.	40372	1999-06-03	Drosophila americana texana	884
AF175214	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-h21 allele, complete cds.	7227	1999-10-06	Drosophila melanogaster	951
AF201424	Drosophila melanogaster isolate Zimbabwe 53 alcohol dehydrogenase (Adhr) gene, intron 1.	7227	2000-07-03	Drosophila melanogaster	494
AF459744	Drosophila affinis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	7246	2002-05-16	Drosophila affinis	290
AF459755	Drosophila varians alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	30050	2002-05-16	Drosophila varians	290
AF459773	Drosophila quadraria alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	67532	2002-05-16	Drosophila quadraria	290
AF459778	Drosophila biauraria alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	73155	2002-05-16	Drosophila biauraria	290
AF459782	Drosophila parvula alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	137077	2002-05-16	Drosophila parvula	290
AM181670	Drosophila gunungcola partial adh gene for alcohol dehydrogenase, exons 1-3	103775	2006-02-15	Drosophila gunungcola	628
EU999243	Drosophila americana isolate FP99.45 alcohol dehydrogenase (Adh) gene, partial cds.	40366	2008-09-09	Drosophila americana	845
L78921	Drosophila mimica (strain 15292-2561.1) alcohol dehydrogenase gene, partial cds.	7270	1996-06-25	Drosophila mimica	822
U64540	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS296 allele, complete cds.	7237	1996-08-16	Drosophila pseudoobscura	3475
U64552	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS336 allele, complete cds.	7237	1996-08-16	Drosophila pseudoobscura	3490
AF136685	Drosophila americana americana G96.36Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	1999-06-03	Drosophila americana americana	884
AF136691	Drosophila americana americana G96.10Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	1999-06-03	Drosophila americana americana	884
AF459769	Drosophila barbarae alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	137354	2002-05-16	Drosophila barbarae	290
AF459770	Drosophila birchii alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	46829	2002-05-16	Drosophila birchii	290
AB669846	Drosophila seguyi Adh gene for alcohol dehydrogenase, partial cds, strain: K59.	73917	2014-01-02	Drosophila seguyi	835
AB669854	Drosophila punjabiensis Adh gene for alcohol dehydrogenase, partial cds, strain: NHO122.	60717	2014-01-02	Drosophila punjabiensis	836
EF560578	Drosophila viracochi pop-variant Bogota alcohol dehydrogenase (adh) gene, partial cds.	306030	2008-05-01	Drosophila viracochi	624
U64541	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS301 allele, complete cds.	7237	1996-08-16	Drosophila pseudoobscura	3500
AF459779	Drosophila kanapiae alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.	137072	2002-05-16	Drosophila kanapiae	290
AF136669	Drosophila americana americana G96.27X alcohol dehydrogenase (Adh) gene, partial cds.	95109	1999-06-03	Drosophila americana americana	884
U64525	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS236 allele, complete cds.	7237	1996-08-16	Drosophila pseudoobscura	3472
U64534	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS268 allele, complete cds.	7237	1996-08-16	Drosophila pseudoobscura	3477
U76472	Drosophila hydei strain 4 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.	7224	1996-11-19	Drosophila hydei	897
AF136679	Drosophila americana americana D.am-.0Y alcohol dehydrogenase (Adh) gene, partial cds.	95109	1999-06-03	Drosophila americana americana	884
AY541090	Drosophila innubila strain CH1_M3 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	198719	2004-12-13	Drosophila innubila	555
AY541213	Drosophila falleni strain Roc_M3 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	7279	2005-03-01	Drosophila falleni	554
LC057204	Drosophila sp. 14028-0511.00 Adh gene for alcohol dehydrogenase, partial cds.	1660392	2019-06-04	Drosophila sp. 14028-0511.00	838
AY364507	Drosophila mojavensis strain MJS 133 alcohol dehydrogenase 1 (Adh1) gene, complete cds.	7230	2004-01-30	Drosophila mojavensis	880
AY364517	Drosophila mojavensis strain MJS 122 alcohol dehydrogenase-2 (Adh2) gene, complete cds.	7230	2004-01-30	Drosophila mojavensis	879
AY541091	Drosophila innubila strain CH1_M4 alcohol dehydrogenase-related protein (Adhr) gene, partial cds.	198719	2004-12-13	Drosophila innubila	555
